id,code,name
BAD_1,BAD,BADAKSHAN
BAG_2,BAG,BAGLAN
BAM_3,BAM,BAMYIAN
BDG_4,BDG,BADGHIS
DAY_5,DAY,DAYKUNDI
FAR_6,FAR,FARYAB
FRH_7,FRH,FARAH
GHO_8,GHO,GHOWR
GHZ_9,GHZ,GHAZNI
HEL_10,HEL,HELMAND
HER_11,HER,HERAT 
JAW_12,JAW,JAWJAN
KAB_13,KAB,KABUL
KHR_14,KHR,KANDAHAR
KAP_15,KAP,KAPISA
KDZ_16,KDZ,KUNDUZ
KHO_17,KHO,KHOWST
KUN_18,KUN,KUNAR
LAG_19,LAG,LAGHMAN
LOG_20,LOG,LOGAR
MAZ_21,MAZ,MAZAR
NAN_22,NAN,NANGAHAR
NIM_23,NIM,NIMRUZ
NUR_24,NUR,NURISTAN
PAN_25,PAN,PANJSHIR
PAR_26,PAR,PARWAN
PKA_27,PKA,PAKTIKA
PTA_28,PTA,PAKTIA
SAM_29,SAM,SAMANGAN
SAR_30,SAR,SARIPOL
TAX_31,TAX,TAKHAR
URU_32,URU,URUZGAN
WAR_33,WAR,WARDAK
ZAB_34,ZAB,ZABUL
